,1,2,3,4,5
739,5814,661,7794,9295,3723
8890,3577,9052,4732,4031,3918
6910,1507,4373,2094,4732,5636
3635,8890,5814,661,3577,4356
1507,2094,5636,6910,4373,7741
5810,7989,7287,7919,35,3778
484,5484,1697,187,2575,4296
4352,2638,5131,2818,8829,8890
1718,1791,1801,2094,9766,1507
1714,1589,3527,5439,3367,9631
9849,77,9620,7965,5658,1697
5131,4352,8829,8890,2818,2638
6412,8829,3367,2034,4031,5439
7429,8829,2034,7741,9729,4732
871,8890,3577,3918,2072,4193
1086,5972,4356,9121,5395,9295
1589,3527,1714,7900,5439,6505
8156,8244,2946,3036,9160,2755
9631,2980,5545,1714,3310,3036
5403,2814,6673,3036,9600,2755
4447,4874,4671,8467,9278,2645
2034,8829,4031,9729,1619,2072
5275,1619,871,9052,5439,3036
7794,3893,4228,661,5814,3723
7287,9295,5810,9121,7682,9600
4296,187,3036,5636,7989,4373
9639,9600,1086,3036,7566,2946
7017,3367,5439,3527,2470,9729
252,4732,661,5814,3893,5395
8829,2034,7429,4031,6412,9729
94,3778,5892,2575,1507,6673
3039,187,7989,1042,8703,2575
9121,3723,9295,4228,7794,661
7741,1507,5636,1801,2094,6910
7919,5810,4421,9295,7287,5892
7674,1801,9729,2018,8086,1718
7030,2814,6673,5545,8244,2946
4732,4373,9052,6910,3577,1507
370,6505,6673,744,1589,5439
9295,9121,739,4356,7287,1086
3577,9052,8890,4031,3036,2072
222,77,1283,9849,1697,484
2449,3036,2946,2755,9600,8244
35,6863,5810,1697,7989,7965
1697,35,7965,9620,6863,484
9134,3036,6673,9600,2755,2814
4767,483,2072,4193,3367,4031
5785,3036,9600,2946,9639,1086
7739,5545,3036,2755,2946,9600
7117,2946,3036,2755,2814,8244
5193,8386,2470,3036,9600,2965
3367,483,5439,7017,8829,6412
8467,5317,7566,9600,6101,3036
5972,4356,1086,5395,3918,661
5439,3367,483,3527,7900,7017
114,2094,4228,4031,1619,7794
9474,744,7989,2575,5636,94
2335,9474,6910,8086,2094,252
7460,2575,5658,94,5484,9474
4998,8829,483,6412,3367,4193
9278,8155,5785,9639,5545,1086
5129,2814,5545,8244,6673,2946
2018,8086,9766,1801,7674,9729
9052,3577,8890,4732,2818,4031
9956,7566,6412,2034,2470,8829
8155,5785,9278,5972,1086,9639
483,3367,4193,5439,8829,6412
1556,3036,2755,2946,5545,9600
5636,1507,2094,7741,6910,1801
4029,3849,1042,2018,9766,7741
3544,2946,3036,5545,8244,2755
1791,1718,1801,2094,9766,7674
1801,1718,2094,8086,1507,7741
9729,1801,8829,2034,7674,4031
1283,3036,9600,9160,7566,2946
1792,114,1619,3893,4031,8059
4031,1619,2072,3577,2034,8829
3893,7794,4228,661,2094,2818
1185,3036,2755,2946,9600,5545
7682,4874,7287,9121,1086,9295
2638,4352,5131,2233,4732,4421
187,9766,3036,4296,7741,5892
3723,661,9121,7794,4228,5814
4514,3036,2946,2755,5545,9600
5814,661,7794,739,5395,252
77,9849,3036,7566,9600,4874
1619,4031,3577,2072,114,2034
4421,2233,661,739,5814,2638
661,7794,5814,3723,3893,4228
3134,3036,9600,2755,2946,7566
6836,3036,9600,2755,2946,7566
1042,3039,8703,3036,2946,9600
4373,6910,4732,2094,1507,5636
5484,484,6578,2575,7460,7989
2072,4031,3577,1619,2034,4732
2461,483,4193,4767,7016,5439
744,7900,1415,6505,7989,9474
9982,6673,3036,9600,2755,9160
1790,3723,739,5814,1086,5395
1800,5193,1042,3849,8086,3527
2980,9631,5545,1103,3527,1714
2094,1507,5636,6910,4373,1801
5892,1507,2094,6910,3778,9766
7900,5439,3527,744,1589,8829
8084,1791,1801,8086,1718,7674
3527,1589,5439,2470,7017,7900
3849,7017,2470,3527,5439,3367
4356,5972,1086,9121,661,5395
2129,9121,661,4228,3778,3723
2965,2946,3036,5193,7566,2755
2575,7989,94,7460,5484,3778
8086,2018,1801,9766,7674,7741
1415,744,8086,3036,7741,1801
2233,4421,2638,739,5814,661
6863,44,35,9620,6685,1697
2470,3527,7017,8086,3367,3849
3778,5636,4373,1507,7794,5892
2378,3036,2755,9600,7566,2946
6830,3036,2755,2946,9600,1103
9766,1801,1718,2018,1507,8086
4193,483,3367,8829,4998,6412
8703,3039,1042,1791,2946,8086
6578,6101,4874,2814,5484,9121
4228,7794,3893,3723,9121,2094
2645,5317,3036,6673,9600,7566
6505,1589,744,370,7900,3527
5395,3918,5814,252,661,5972
8059,1718,114,1792,1791,4228
7965,5658,1697,35,6863,5317
44,7566,6863,9620,4874,9600
4671,4874,5317,7566,9600,3036
6685,6863,35,44,7989,5810
7989,5636,5810,2575,3778,187
2945,1791,2094,2818,1718,4228
2818,9052,2094,3893,4228,4732
7016,2461,483,6412,4767,3367
8967,2645,4671,6578,8155,9956
3310,3036,5545,9631,2755,2946
3918,5395,8890,5972,5814,1086
8386,3036,5193,2946,2755,2470
1103,3036,2755,2946,2980,6830
9620,44,6863,1697,35,2575
5658,7965,7460,94,9600,7566
5545,3310,3918,3577,9631,114
5317,9620,7965,4671,2233,4421
3036,4874,4514,1556,3577,6830
9160,4874,5972,9631,187,1042
8244,4874,5972,9121,3723,5892
2755,4874,8386,6830,3723,1185
9600,4874,7794,9639,7287,3723
2946,4874,4373,5439,3036,5892
1403,6685,9278,2945,739,484
7566,4874,44,9956,9639,9600
6673,3778,9982,94,9295,370
2814,6578,5403,2818,1801,9121
6101,6578,4874,6685,2814,7965
4874,6578,4671,3036,8244,2755
